#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-31.0,16,0.027886
-23.0,18,0.05086
-20.0,15,0.071803
12.0,13,0.087761
-117.0,22,0.117648
-31.0,16,0.137629
-75.0,20,0.166516
-78.0,23,0.206409
-77.0,22,0.231381
15.0,10,0.242347
-32.0,17,0.26329
-98.0,23,0.287226
-80.0,25,0.314155
5.0,10,0.325125
-139.0,24,0.351056
16.0,9,0.362026
-76.0,21,0.383968
-80.0,25,0.410895
-86.0,21,0.432838
-85.0,20,0.453786
-120.0,25,0.480712
-8.0,13,0.495668
-68.0,23,0.521599
7.0,8,0.528584
-139.0,24,0.554512
-54.0,19,0.575457
-95.0,20,0.597372
-24.0,19,0.618309
31.0,4,0.620303
-44.0,19,0.64129
16.0,9,0.651252
-21.0,16,0.668207
-130.0,25,0.695102
-68.0,23,0.72203
-107.0,22,0.748958
-99.0,24,0.775887
-100.0,25,0.802814
2.0,13,0.818772
-65.0,20,0.854678
-88.0,23,0.884631
-6.0,11,0.897601
-88.0,23,0.923492
-68.0,23,0.95042
-99.0,24,0.97439
-107.0,22,0.999325
-110.0,25,1.027249
27.0,8,1.03423
-33.0,18,1.055166
-44.0,19,1.076119
-10.0,15,1.092077
-77.0,22,1.115014
-99.0,24,1.140944
-77.0,22,1.163862
-89.0,24,1.189813
-119.0,24,1.215744
-86.0,21,1.237686
-109.0,24,1.263616
-55.0,20,1.28456
-65.0,20,1.306502
-31.0,16,1.322459
-110.0,25,1.348389
-34.0,19,1.369334
-53.0,18,1.388284
13.0,12,1.400251
-20.0,15,1.416208
-87.0,22,1.43815
-49.0,24,1.463084
-88.0,23,1.488016
-87.0,22,1.509958
-10.0,15,1.525916
-65.0,20,1.546862
27.0,8,1.555834
-86.0,21,1.577776
-87.0,22,1.599717
-68.0,23,1.623654
-120.0,25,1.650583
-57.0,22,1.673527
-129.0,24,1.699417
-76.0,21,1.721359
17.0,8,1.73037
-78.0,23,1.762285
